# caps-prefix	client name	icon file
# Generated by build_clients.py from index.html
https://qabber.ru/jame-bot	Jame	jamebot.png
https://simpleapps.ru/caps	Blacksmith-1	blacksmith-bot.png
https://sleekxmpp.com/ver/	Poezio (old), Imo IM [Sleek XMPP]	poezio.png
https://tkabber.jabber.ru/	Tkabber	tkabber.png
http://bombus-im.org/java	Bombus (old)	bombus-old.png
http://fin.jabber.ru/caps	Capsula [Talisman]	capsula-bot.png
http://imadering.com/caps	IMadering	imadering.png
http://jabber.pdg.pl/caps	BombusKlub (old)	bombusklub.png
http://jasmineicq.ru/caps	Jasmine	jasmine.png
http://klub54.wen.ru/caps	BombusKlub	bombusklub.png
http://qabber.ru/jame-bot	Jame	jamebot.png
http://simpleapps.ru/caps	Blacksmith-1	blacksmith-bot.png
http://sleekxmpp.com/ver/	Poezio (old), Imo IM [Sleek XMPP]	poezio.png
http://tkabber.jabber.ru/	Tkabber	tkabber.png
https://android.atalk.org	aTalk	atalk.png
https://botx.ir/svn/trunk	Zeus	zeus-bot.png
https://chat.ovi.com/caps	Ovi chat	ovi-chat.png
https://emess.eqx.su/caps	Emess (old)	emess-old.png
https://erlim.a7x-im.com/	Erlang IM	erlim.png
https://jabber.pix-art.de	Pix-Art Messenger	pix-art.png
https://java.util.Random@	Bombus Avalon (old)	bombus-avalon.png
https://mchat.mgslab.com/	mChat	mchat.png
https://palringo.com/caps	uTalk	utalk.png
https://v4.isida.dsy.name	Isida-bot New	isida-bot.png
https://www.freq-bot.net/	freQ	freq-bot.png
http://android.atalk.org	aTalk	atalk.png
http://botx.ir/svn/trunk	Zeus	zeus-bot.png
http://chat.ovi.com/caps	Ovi chat	ovi-chat.png
http://emess.eqx.su/caps	Emess (old)	emess-old.png
http://erlim.a7x-im.com/	Erlang IM	erlim.png
http://jabber.pix-art.de	Pix-Art Messenger	pix-art.png
http://java.util.Random@	Bombus Avalon (old)	bombus-avalon.png
http://mchat.mgslab.com/	mChat	mchat.png
http://palringo.com/caps	uTalk	utalk.png
http://v4.isida.dsy.name	Isida-bot New	isida-bot.png
http://www.freq-bot.net/	freQ	freq-bot.png
https://2010.qip.ru/caps	QIP 2010	qip2010.png
https://BombusMod.net.ru	BombusMod (old)	bombusmod-old.png
https://bggg.net.ru/caps	Telegram Bridge	telegram.png
https://bombus-im.org/ng	BombusNG (old)	bombusng.png
https://camaya.net/gloox	Gloox Library	gloox.png
https://conversations.im	Conversations	conversations.png
https://gaim.sf.net/caps	Gaim	gaim.png
https://imformer.ru/caps	Imformer	imformer-bot.png
https://jabrvista.net.ru	Talisman	talisman-bot.png
https://jimm.net.ru/caps	Jimm aspro (Android)	jimm-android.png
https://matrix.bz/safety	Blacksmith-2	blacksmith-bot.png
https://mcabber.com/caps	mcabber	mcabber.png
https://megafonvolga.ru/	MegaFon Connect	megafon.png
https://slixmpp.com/ver/	Poezio	poezio.png
https://trillian.im/caps	Trillian	trillian.png
https://v4.isida-bot.com	Isida-bot New	isida-bot.png
https://www.chatopus.com	Chatopus	chatopus.png
https://www.profanity.im	Profanity	profanity.png
http://2010.qip.ru/caps	QIP 2010	qip2010.png
http://BombusMod.net.ru	BombusMod (old)	bombusmod-old.png
http://bggg.net.ru/caps	Telegram Bridge	telegram.png
http://bombus-im.org/ng	BombusNG (old)	bombusng.png
http://camaya.net/gloox	Gloox Library	gloox.png
http://conversations.im	Conversations	conversations.png
http://gaim.sf.net/caps	Gaim	gaim.png
http://imformer.ru/caps	Imformer	imformer-bot.png
http://jabrvista.net.ru	Talisman	talisman-bot.png
http://jimm.net.ru/caps	Jimm aspro (Android)	jimm-android.png
http://matrix.bz/safety	Blacksmith-2	blacksmith-bot.png
http://mcabber.com/caps	mcabber	mcabber.png
http://megafonvolga.ru/	MegaFon Connect	megafon.png
http://slixmpp.com/ver/	Poezio	poezio.png
http://trillian.im/caps	Trillian	trillian.png
http://v4.isida-bot.com	Isida-bot New	isida-bot.png
http://www.chatopus.com	Chatopus	chatopus.png
http://www.profanity.im	Profanity	profanity.png
https://ex-im.name/caps	BombusMod (old)	bombusmod-old.png
https://jabbrik.ru/caps	Utah	utah-bot.png
https://oneteam.im/caps	OneTeam	oneteam-iphone.png
https://pda.qip.ru/caps	QIP PDA	qippda.png
https://psi-im.org/caps	Psi	psi.png
https://www.jappix.com/	Jappix	jappix.png
http://ex-im.name/caps	BombusMod (old)	bombusmod-old.png
http://jabbrik.ru/caps	Utah	utah-bot.png
http://oneteam.im/caps	OneTeam	oneteam-iphone.png
http://pda.qip.ru/caps	QIP PDA	qippda.png
http://psi-im.org/caps	Psi	psi.png
http://www.jappix.com/	Jappix	jappix.png
https://conversejs.org	Conversejs	conversejs.png
https://gajim.org/caps	Gajim (old)	gajim.png
https://juick.com/caps	Juick-Bot	juick-bot.png
https://moxl.movim.eu/	Movim	movim.png
https://pidgin.im/caps	Libpurple (old)	libpurple-old.png
https://wime.whoer.net	Wime	wime.png
https://www.xabber.com	Xabber New	xabber.png
http://conversejs.org	Conversejs	conversejs.png
http://gajim.org/caps	Gajim (old)	gajim.png
http://juick.com/caps	Juick-Bot	juick-bot.png
http://moxl.movim.eu/	Movim	movim.png
http://pidgin.im/caps	Libpurple (old)	libpurple-old.png
http://wime.whoer.net	Wime	wime.png
http://www.xabber.com	Xabber New	xabber.png
https://agent.mail.ru	Mail.Ru Agent	m-agent.png
https://home.gna.org/	Webpresence.jabberfr.org	omnipresence.png
https://isida-bot.com	iSida	isida-bot.png
https://j-tmb.ru/caps	Talisman	talisman-bot.png
https://klub54.wen.ru	Rankoid	rankoid-bot.png
https://monal.im/caps	Monal	monal.png
https://sawim.ru/caps	Sawim NE	sawim.png
http://agent.mail.ru	Mail.Ru Agent	m-agent.png
http://home.gna.org/	Webpresence.jabberfr.org	omnipresence.png
http://isida-bot.com	iSida	isida-bot.png
http://j-tmb.ru/caps	Talisman	talisman-bot.png
http://klub54.wen.ru	Rankoid	rankoid-bot.png
http://monal.im/caps	Monal	monal.png
http://sawim.ru/caps	Sawim NE	sawim.png
https://bombusmod.eu	BombusMod (PL)	bombuspl.png
https://cheogram.com	Cheogram	cheogram.png
https://dino-im.org/	Dino	dino.png
https://eqx.su/emess	Emess	emess.png
https://habahaba.im/	Habahaba	habahaba.png
https://home.gna.org	Omnipresence	omnipresence.png
https://kadu.im/caps	Kadu	kadu.png
https://psi-plus.com	Psi+ New	psiplus.png
http://bombusmod.eu	BombusMod (PL)	bombuspl.png
http://cheogram.com	Cheogram	cheogram.png
http://dino-im.org/	Dino	dino.png
http://eqx.su/emess	Emess	emess.png
http://habahaba.im/	Habahaba	habahaba.png
http://home.gna.org	Omnipresence	omnipresence.png
http://kadu.im/caps	Kadu	kadu.png
http://psi-plus.com	Psi+ New	psiplus.png
https://jappix.org/	Jappix (NEW)	jappix.png
https://monocles.de	Monocles Chat	monocles.png
https://monocles.eu	Monocles Chat	monocles.png
https://qip.ru/caps	QIP	qip.png
https://wtw.k2t.eu/	wtw	wtw.png
http://jappix.org/	Jappix	jappix.png
http://monocles.de	Monocles Chat	monocles.png
http://monocles.eu	Monocles Chat	monocles.png
http://qip.ru/caps	QIP	qip.png
http://wtw.k2t.eu/	wtw	wtw.png
https://blabber.im	Blabber	blabber.png
https://c0nnect.de	c0nnect PRO	con-pro.png
https://gajim.org/	Gajim (old)	gajim.png
https://j-cool.ru/	GameBot	gamebot.png
https://pandion.im	Pandion	pandion.png
https://pidgin.im/	Libpurple [Pidgin, Finch, Adium...]	libpurple.png
https://psi-im.org	psi New	psi.png
https://qutim.org/	qutIM	qutim.png
https://www.qip.ru	QIP-IM (WEB)	qip.png
https://xmpp.rocks	Juick-Bot	juick-bot.png
https://yaxim.org/	Yaxim	yaxim.png
http://blabber.im	Blabber	blabber.png
http://c0nnect.de	c0nnect PRO	con-pro.png
http://gajim.org/	Gajim (old)	gajim.png
http://j-cool.ru/	GameBot	gamebot.png
http://pandion.im	Pandion	pandion.png
http://pidgin.im/	Libpurple [Pidgin, Finch, Adium...]	libpurple.png
http://psi-im.org	psi New	psi.png
http://qutim.org/	qutIM	qutim.png
http://www.qip.ru	QIP-IM (WEB)	qip.png
http://xmpp.rocks	Juick-Bot	juick-bot.png
http://yaxim.org/	Yaxim	yaxim.png
https://-цифры.ru	Bombus Avalon (old)	bombus-avalon.png
https://bombus.pl	BombusMod (PL)	bombuspl.png
https://gajim.org	Gajim	gajim.png
https://jabga.ru/	Fin jabber [Fin Jimm, jTalkmod (old)]	fj.png
https://jitsi.org	Jitsi	jitsi.png
https://kandru.de	KandruIM	kandu-im.png
https://movim.eu/	Movim	movim.png
https://prose.org	Prose	prose.png
https://qutim.org	qutIM (old)	qutim-old.png
https://stanza.io	Stanza.IO (Otalk)	stanza.png
http://-цифры.ru	Bombus Avalon (old)	bombus-avalon.png
http://bombus.pl	BombusMod (PL)	bombuspl.png
http://gajim.org	Gajim	gajim.png
http://jabga.ru/	Fin jabber [Fin Jimm, jTalkmod (old)]	fj.png
http://jitsi.org	Jitsi	jitsi.png
http://kandru.de	KandruIM	kandu-im.png
http://movim.eu/	Movim	movim.png
http://prose.org	Prose	prose.png
http://qutim.org	qutIM (old)	qutim-old.png
http://stanza.io	Stanza.IO (Otalk)	stanza.png
https://Bluejabb	Bluejabb IM	bluejabb.png
https://eyecu.ru	EyeCU	eyecu.png
https://glu.net/	Glu	glu.png
https://jabga.ru	jTalkmod	jtalkmod.png
https://poez.io/	Poezio (new)	poezio.png
https://smuxi.im	Smuxi	smuxi.png
https://swift.im	Swift	swift.png
http://Bluejabb	Bluejabb IM	bluejabb.png
http://eyecu.ru	EyeCU	eyecu.png
http://glu.net/	Glu	glu.png
http://jabga.ru	jTalkmod	jtalkmod.png
http://poez.io/	Poezio (new)	poezio.png
http://smuxi.im	Smuxi	smuxi.png
http://swift.im	Swift	swift.png
https://aqq.eu/	AQQ	aqq.png
https://dino.im	Dino	dino.png
https://sum7.eu	conv6ations	conv6ations.png
http://aqq.eu/	AQQ	aqq.png
http://dino.im	Dino	dino.png
http://sum7.eu	conv6ations	conv6ations.png
urn:xmpp:rtt:0	Real jabber	realjabber.png
